만나포도원,http://www.mpodo.com,,강원도,춘천시,과채류,포도
우리주말농장,http://www.woori-farm.com,,강원도,춘천시,곡류,체험마을
콩이랑상걸리전통장,http://www.withkong.com,,강원도,춘천시,육류,콩
강릉팜,http://farm.gn.go.kr,,강원도,강릉시,버섯류,쌀
토종농장,http://www.tojongfarm.com/ ,,강원도,강릉시,과채류,마
대기리마을,http://daegiri.invil.org/ ,,강원도,강릉시,곡류,체험마을
복사꽃정보화 마을,http://dohwa.invil.org/ ,,강원도,강릉시,과일류,체험마을
HAPPY800 천산농장,http://www.happy800.com/ ,,강원도,강릉시,육류,마늘
하도문쌈채마을,http://hadomun.invil.org/ ,,강원도,속초시,과채류,체험마을
평창군농업정보센터,http://www.happy700agri.or.kr/html/ ,,강원도,평창군,곡류,쌀
임씨네 사슴농장,http://www.deerfarm.co.kr/,,강원도,정선군,버섯류,체험마을
복음농장건강원,http://www.gospelfarm.co.kr/,,강원도,정선군,과채류,기타
풍산마을,http://e-dongchon.com,,강원도,화천군,과일류,체험마을
만산동민박,http://sankkun.co.kr,,강원도,화천군,곡류,체험마을
독정정미소,http://www.janganrice.net/,,경기도,화성시,과채류,쌀
은성주말관광농원,http://kgfarm.gg.go.kr/farm/00079/,,경기도,화성시,곡류,체험마을
와초농원,http://new.hi-farm.com/store/A00067,,경기도,연천군,육류,배
연천옥계마을,http://okgye.go2vil.org/,,경기도,연천군,버섯류,체험마을
쌀밥같은 현미,http://www.hyunmijoa.com/,,경기도,연천군,과채류,쌀
고사리랜드,http://www.gosariland.co.kr/,,경기도,연천군,곡류,고사리
토종밤농장,http://goldstone.puruemi.com/,,경기도,연천군,버섯류,밤
선한이웃,http://www.dmzchon.com/,,경기도,연천군,장류,장류
유림농원,http://yrapple.com,개인,경상북도,안동시,과일류,사과
초보농사꾼,http://chobofarmer.com,개인,경상북도,안동시,육류,고추
산배농원,http://sanbae.kr/,개인,경상북도,안동시,과채류,사과
두메산골,http://dume.kr/,개인,경상북도,안동시,곡류,사과
광복농장,http://rkb.kr/,개인,경상북도,안동시,곡류,콩
공기돌농장,http://gongkidol.com/,개인,경상북도,안동시,육류,고추
팽동성농장,http://pds-applecow.com/,개인,경상북도,안동시,버섯류,사과
푸른숲산사과농장,http://www.purunapple.com/,개인,경상북도,안동시,과채류,사과
안동블루베리영농조합,http://berrylove.co.kr/,개인,경상북도,안동시,곡류,블루베리
반딧불이성곡농원,http://bandyapple.com/,개인,경상북도,안동시,과일류,사과
안동전통한과,http://andonghanga.com/,개인,경상북도,안동시,육류,한과
풍금농원,http://iloveapple62.com/,개인,경상북도,안동시,버섯류,사과
대흥사과농장,http://apple1.kr/,개인,경상북도,안동시,과채류,사과
안동화련&연꽃사과,http://lotusapple.com/,개인,경상북도,안동시,곡류,사과
이브사과,http://eve-apple.com/,개인,경상북도,안동시,과일류,사과
달달한농장&펜션,http://daldalhan.kr/,개인,경상북도,안동시,육류,고추
큰집에농장,http://unclefarm.kr/,개인,경상북도,안동시,버섯류,고추
착한농장,http://goodnj.kr/,개인,경상북도,안동시,과채류,마
금빛이슬,http://ecotea.kr/,개인,경상북도,안동시,곡류,차
학가산금학,http://teas.kr/,개인,경상북도,안동시,과일류,차
블루베리 불로초농원,http://goodvery.net/,개인,경상북도,안동시,육류,블루베리
단디농장,http://www.dandifarm.com/,개인,경상북도,안동시,버섯류,아스파라거스
덕산농원,http://www.dsfarm.kr/,개인,경상북도,안동시,과채류,사과
운암농원,http://www.unapple.net/,개인,경상북도,안동시,곡류,사과
송사농원,http://www.songsa.co.kr/,개인,경상북도,안동시,과일류,사과
대길농원,http://www.dkapple.net/,개인,경상북도,안동시,육류,사과
왕고집농장,http://www.kgojib.com/,개인,경상북도,안동시,버섯류,사과
안동정일품사과농장,http://www.ww4989.kr/,개인,경상북도,안동시,과채류,사과
안동오름실농원,http://www.j2170.kr/,개인,경상북도,안동시,곡류,사과
안동형제온원,http://www.a4688.kr/,개인,경상북도,안동시,과일류,사과
토일새코미사관오장,http://www.secomiapple.com/,개인,경상북도,안동시,육류,사과
즐거운농부안동사과,http://www.happyandong.com/,개인,경상북도,안동시,버섯류,사과
마동농장,http://www.imadong.com/,개인,경상북도,안동시,과채류,아스파라거스
혜산농원,http://www.hyesan.co.kr/,개인,경상북도,안동시,과일류,사과
풍산사과,http://psapple.com/,개인,경상북도,안동시,버섯류,사과
아름들 농장,http://ardfarm.com/,개인,경상북도,안동시,과채류,토마토
제비원 사과농장,http://organicfarming.co.kr/,개인,경상북도,안동시,곡류,사과
안동마부용농산,http://bymall.co.kr/,개인,경상북도,안동시,과일류,마
병태와 영자,http://byfarm.com/,개인,경상북도,안동시,육류,쌀
시남농원,http://sinamfarm.com/,개인,경상북도,안동시,버섯류,사과
황금사과농장,http://applegold.co.kr/,개인,경상북도,안동시,과채류,사과
노루골농원,http://noruapple.com/,개인,경상북도,안동시,곡류,사과
태성농원,http://sanapple.co.kr/,개인,경상북도,안동시,과일류,사과
애플농장,http://andongapple.pe.kr/,개인,경상북도,안동시,육류,사과
고촌농산,http://gochonma.com/,개인,경상북도,안동시,버섯류,마
풍산장터,http://pungsango.com/,개인,경상북도,안동시,과채류,마
안동대추,http://andongdaechu.com/,개인,경상북도,안동시,곡류,대추
도치마농장,http://dochifarm.com/,개인,경상북도,안동시,과일류,마
안동벌꿀,http://andonghoney.farmmoa.com/,개인,경상북도,안동시,육류,벌꿀
선바우골농장,http://seonbawoo.farmmoa.com/,개인,경상북도,안동시,버섯류,마
